"ID","NONMOTOR","CAR1","CAR2","CAR3","VAN1","VAN2","VAN3","SUV1","SUV2","SUV3","PICKUP1","PICKUP2","PICKUP3","MOTOR","NCAR1","NCAR2","NCAR3","NVAN1","NVAN2","NVAN3","NSUV1","NSUV2","NSUV3","NPICKUP1","NPICKUP2","NPICKUP3"
99,244.797413682565,959.925142362402,0,0,0,0,0,0,0,0,0,0,236.057310571456,0,1,0,0,0,0,0,0,0,0,0,0,1
100,383.935700639718,0,14750.9737800215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,266.302814046784,7226.54936492706,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,97.4313257011027,222.371979833327,0,0,0,0,0,25.7628333682585,0,0,0,0,0,19.4338610973119,1,0,0,0,0,0,1,0,0,0,0,0
103,493.741136403756,5390.39461471963,3924.85925760364,3123.77380448566,0,0,0,1824.01165919833,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0
104,245.319302529429,0,0,0,0,0,0,0,0,0,26325.2622698643,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
105,767.751103366629,0,13115.4566548097,9430.21230679129,0,0,0,0,0,0,18901.3676559361,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
106,628.551458289223,0,11289.1003137352,11424.1270056993,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
107,901.870976017066,0,0,0,0,0,0,0,0,0,0,0,0,15835.8761282493,0,0,0,0,0,0,0,0,0,0,0,0
108,658.517001787173,0,0,0,0,0,0,0,0,0,0,25895.9234993336,18180.0068743481,0,0,0,0,0,0,0,0,0,0,0,2,1
109,547.333992745134,20149.903407372,0,4862.65556532451,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
110,824.278798563484,0,0,0,0,0,0,24120.7985399937,0,0,0,0,12980.2272001212,0,0,0,0,0,0,0,1,0,0,0,0,1
111,381.21388042551,0,0,0,0,0,0,15643.652974105,0,0,0,0,0,1301.4697725211,0,0,0,0,0,0,2,0,0,0,0,0
112,775.486790869868,4906.61801655922,3043.90210090179,0,0,0,0,2275.48649251474,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
113,362.098498676319,0,23266.3921487241,0,0,0,0,11363.9313176199,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
114,700.826459209445,0,0,0,0,0,0,10236.0254320278,0,0,0,6136.8764847598,0,0,0,0,0,0,0,0,1,0,0,0,1,0
